,CertainAmount,Outcome1,Outcome2,isHappyBlock,Happiness,Outcome,time,subject_id,InterpHappiness,MoodTarget,Expected,Actual,CertCol,ExpectedCol,RPECol,Gamble,RutC,RutE,RutR,block
75,0.99,13.5,1.98,True,,win,75,10001,0.7,0.9550000000000001,7.74,13.5,0.0,7.74,5.76,1.0,0.0,7.74,5.76,3
76,-2.3425,-1.5,-3.185,True,,lose,76,10001,0.7,0.9550000000000001,-2.3425000000000002,-3.185,0.0,-2.3425000000000002,-0.8424999999999998,1.0,-0.0,-2.3425000000000002,-0.8424999999999998,3
77,-6.16,-0.1,-12.22,True,,certain,77,10001,0.7,0.9550000000000001,-6.16,-6.16,-6.16,0.0,0.0,0.0,-6.16,-0.0,0.0,3
78,-0.76,10.9,-1.52,True,,win,78,10001,0.7,0.9550000000000001,4.69,10.9,0.0,4.69,6.21,1.0,-0.0,4.69,6.21,3
79,-2.86,3.5,-9.22,True,,win,79,10001,0.7,0.9550000000000001,-2.8600000000000003,3.5,0.0,-2.8600000000000003,6.36,1.0,-0.0,-2.8600000000000003,6.36,3
80,0.39,6.9,-6.12,True,,win,80,10001,0.7,0.9550000000000001,0.3900000000000001,6.9,0.0,0.3900000000000001,6.51,1.0,0.0,0.3900000000000001,6.51,3
81,1.9483333330000001,4.9,3.896666667,True,,lose,0,10002,,0.9550000000000001,4.3983333335,3.896666667,0.0,4.3983333335,-0.5016666665000002,1.0,0.0,4.3983333335,-0.5016666665000002,1
82,-3.54,-1.3,-5.78,True,0.75,certain,1,10002,0.75,0.9550000000000001,-3.54,-3.54,-3.54,0.0,0.0,0.0,-3.54,-0.0,0.0,1
83,1.295,6.9,2.59,True,0.69,win,2,10002,0.69,0.9550000000000001,4.745,6.9,0.0,4.745,2.1550000000000002,1.0,0.0,4.745,2.1550000000000002,1
84,5.560833333,12.3,11.12166667,True,,lose,3,10002,0.69,0.9550000000000001,11.710833335,11.12166667,0.0,11.710833335,-0.5891666650000005,1.0,0.0,11.710833335,-0.5891666650000005,1
85,0.865,7.5,1.73,True,,win,4,10002,0.69,0.9550000000000001,4.615,7.5,0.0,4.615,2.885,1.0,0.0,4.615,2.885,1
86,3.635,8.5,7.27,True,0.75,lose,5,10002,0.75,0.9550000000000001,7.885,7.27,0.0,7.885,-0.6150000000000002,1.0,0.0,7.885,-0.6150000000000002,1
87,1.305,8.1,2.61,True,0.83,win,6,10002,0.83,0.9550000000000001,5.3549999999999995,8.1,0.0,5.3549999999999995,2.745,1.0,0.0,5.3549999999999995,2.745,1
